R	W2539	sp03:3813:1
R	W2540	sp13:38bc
R	W254b	sp13:3a35
R	W2558	sp13:3832:1
R	W2567	sp13:3992:1
R	W2574	sp13:39ef:1
T	W257b	H2O
R	W2582	sp03:38ae:281
R	W2591	sp03:3991:411
R	W25a0	sp03:38df:1
T	W25b1	Her chest
R	W25be	sp13:3823:41
R	W25cb	sp05:3951:1
R	W25d4	sp13:39ce
R	W25df	sp03:38ba:1
T	W25e4	Gulliver
R	W25ed	sp06:3831:41
R	W25fa	sp03:3889:1
R	W2609	sp13:393a
R	W261a	sp13:384a:1
R	W2627	sp03:3850:1
R	W2634	sp03:392c:1
R	W263f	sp03:3931:1
R	W2648	sp03:3938:1
R	W2651	sp03:393f:1
R	W265a	sp03:3946:1
R	W2663	sp13:38c3:1
R	W266c	sp13:385c:1
R	W2679	sp03:383e:1
R	W2682	sp03:39ad:1
R	W268f	sp03:38cf:1
R	W2696	sp13:39b3:1
R	W269f	sp03:3843:1
R	W26a8	sp04:3990:1
R	W26b1	sp03:3884:1
T	W26ba	Piece
T	W26bd	Guest
R	W26c0	sp06:3acb:1
R	W26c7	sp03:38ca:1
R	W26cc	sp13:387c:1
R	W26d1	sp13:3a66:1
R	W26da	sp13:3800:1
R	W26e9	sp13:386c:1
R	W26f0	sp13:391b:1
R	W26fb	sp03:394d:1
R	W2702	sp03:382d:1
R	W2709	sp03:390f:1
T	W270e	My mask
R	W271b	sp13:3908:1
R	W2726	sp03:3909:1
R	W272b	sp13:38e7:1
R	W272e	sp03:387b:1
R	W2735	sp13:39d7:1
R	W273e	sp03:38a2:1
R	W2745	sp13:3977:1
R	W274e	sp13:39a4:1
R	W2757	sp13:3988:1
R	W2760	sp13:3a3f:1
R	W276b	sp03:3973:1
R	W2776	sp13:3941:1
R	W277b	sp13:3a9b:1
R	W2784	sp13:3a59:1
R	W278f	sp06:3922:1
R	W2794	sp13:3a74:1
R	W279d	sp13:3a4c:1
R	W27a6	sp13:3886:1
R	M27b3	sp13:3aad
R	M27c6	sp13:3ac8
R	M27fb	sp13:3b4c
R	M2811	sp13:3b7b
R	M2837	sp13:3bc1
R	M2855	sp13:3c04
R	M2864	sp13:3c19
R	M287f	sp13:3c48
R	M2899	sp13:3c67
R	M28ad	sp13:3c92
R	M28c4	sp13:3caa
R	M28d9	sp13:3cd4
R	M28f8	sp13:3d1d
R	M2909	sp13:3d37
R	M2920	sp13:3d5f
R	M2938	sp13:3d8d
R	M2949	sp13:3db8
R	M2961	sp13:3e0c
R	M2979	sp13:3e3a
R	M2996	sp13:3e6a
R	M29ab	sp13:3e91
R	M29c5	sp13:3ed5
R	M29e2	sp13:3eec
R	M29f7	sp13:3f13
R	M2a1a	sp13:3f4f
R	M2a2d	sp13:3f71
R	M2a41	sp13:3f97
R	M2a52	sp13:3fac
R	M2a6a	sp13:3fd2
R	M2a93	sp13:402e
T	M2aa6	That's the manager from before.
R	M2ab5	sp13:4055
R	M2ac6	sp13:40b1
T	M2af0	That's him! The monk hero who fought the secret group Shakkuri!
T	M2b22	Oh yeah, that one. Mask Rider Black (Revenge of Kunta Kinte) - the TV show about a monk fighting racism.
T	M2b6c	That customer is dressed as Mask Rider, the mysterious monk hero.
T	M2b8b	Oh! This one's a character from The Stuffed Monkey, a movie that played at the British Museum.
T	M2bc3	Ah, I see. That's one of the three wise monkeys, isn't it... See no evil, hear no evil, speak no evil.
T	M2bf8	They stuffed the talking monkey to shut him up, and that's how the saying was born?
T	M2c29	That customer is dressed as Kounerya, the space ape man.
T	M2c49	This is the lonely Eiriyan. He's friendly, tries to stick his tongue in everyone's mouth, ages incredibly fast, and everybody hates him for being such a pervert.
T	M2caa	Oh, that one! The movie about the interstellar marriage scam where he preyed on old maids, even though he had parents and siblings back in The Eiriyans... that gossip horror flick?
T	M2d20	That's right. The song Eiriyan, I hear you finally got married, sigh... was a huge hit.
T	M2d5d	The tagline You won't find a spouse out in space was popular too.
T	M2d8e	It really predicted men's marriage troubles perfectly.
T	M2db0	These days he's supposedly reformed and shaved his head bald.
T	M2dcc	That customer is dressed as Eiriyan.
T	M2de2	This one is... that's right! The character Okane san, the arcade kid.
T	M2e0f	I know that one! The moving story of a boy who worked day and night making change just to play video games.
T	M2e43	In the end he had so much spare change that he ended up becoming a coin changer at the arcade, what a twist...
T	M2e7c	In that movie he tried to switch the games over to a token system like they use in America, showing us a whole new direction for game centers.
T	M2eca	That customer is dressed as Okane san.
T	M2ee0	Oh, this one! It's H2O, the translator robot from that All Star Wars series.
T	M2f16	Of course I know it! A robot who dreams of stardom auditions for a musical.
T	M2f46	But his joints were too stiff, so he got cut - he couldn't breakdance.
T	M2f7b	Next he tried using his talent for translation to become an interpreter on the music show Midnight Hot Plate.
T	M2fb0	But he got cut again, because he could never pass the Grade 2 English proficiency test.
T	M2fe4	That customer is dressed as H2O.
T	M2ff9	That's... Gulliver, the Anorexia Syndrome isn't it.
T	M3017	I saw that! That's the Hollywood movie directed by Steve Two and Carpet George, right?
T	M3046	It's a kung fu flick about a fight in a beauty salon over an anorexia suit that lets anyone lose weight without effort.
T	M3089	That customer is dressed as Gulliver.
T	M309e	It's just like a space bar in here. Mask Rider, Kounerya, Eiriyan, Okane san, H2O, and Gulliver too... everyone's really gotten into character.
T	M30ef	The owner of this place has some old fashioned taste.
R	M3107	sp05:8ab1
R	M3110	sp13:4c9e
R	M3129	sp13:4cbc
R	M313c	sp13:4ce9
R	M314c	sp13:4d0f
R	M3175	sp13:4d53
R	M318a	sp13:4d7a
R	M319b	sp13:4d96
R	M31b5	sp12:5973
R	M31c4	sp13:4dca
R	M31d2	sp13:4ded
R	M31e3	sp13:4e01
R	M31f2	sp13:4e1b
R	M320b	sp13:4e45
R	M322b	sp13:4e90
R	M3244	sp13:4eab
R	M3257	sp13:4ed4
R	M326c	sp13:4eed
R	M3280	sp13:4f02
R	M328a	sp13:4f1a
R	M329f	sp13:4f2c
T	M32ae	I'll call the Ueda character from Lethal Enforcers.
R	M32c0	sp10:537e
T	M32c9	I'll call the Contra guy.
R	M32db	sp13:4fbf
R	M32e5	sp13:4fd3
R	M32f5	sp13:4ff3
T	M32fd	I'll call Gulliver.
T	M330e	Huh? Me?
R	M3318	sp13:5012
R	M3334	sp13:504d
R	M334a	sp13:505f
R	M335e	sp13:508b
R	M336e	sp13:5099
R	M3381	sp13:50c4
R	M339f	sp13:5107
R	M33b7	sp13:5138
R	M33d3	sp13:5161
R	M33e9	sp10:4e3b
R	M33fb	sp13:51af
R	M3411	sp13:51cc
R	M3428	sp13:5208
R	M343a	sp13:5226
R	M344e	sp13:5247
R	M349a	sp13:52ba
R	M34aa	sp13:5226
R	M34bf	sp13:52f8
R	M34e3	sp13:532d
R	M34f5	sp13:5354
R	M3511	sp13:539d
R	M3537	sp13:53fd
R	M3553	sp13:5437
R	M3561	sp13:5450
R	M3571	sp13:546f
R	M3583	sp13:549d
R	M359f	sp13:54cf
R	M35b5	sp13:54fa
R	M35c2	sp13:550b
R	M35d0	sp13:508b
R	M35e0	sp13:5540
R	M35f1	sp13:555e
R	M3602	sp13:508b
R	M3612	sp13:5586
R	M362c	sp13:7424
R	M364c	sp13:7460
R	M365a	sp13:746c
R	M3671	sp13:74a0
R	M3682	sp13:74d0
R	M3699	sp13:7501
R	M36a9	sp13:752a
R	M36c7	sp13:7560
R	M36d2	sp13:7571
R	M36e5	sp13:55b6
R	M3708	sp13:55ee
R	M371c	sp13:5713
R	M373c	sp13:575b
R	M374a	sp13:577d
R	M375d	sp13:5794
R	M376e	sp13:57b0
R	M3783	sp13:5794
R	M3794	sp13:57ed
R	M37b0	sp13:582e
R	M37c0	sp13:5847
R	M37d5	sp13:5868
R	M37e9	sp13:5882
R	M37f9	sp13:58be
R	M3829	sp13:5936
R	M3845	sp13:596d
R	M385a	sp13:5984
R	M3870	sp13:59d2
R	M388a	sp13:5a18
R	M38a4	sp13:5a65
R	M38ce	sp13:5617
R	M38f7	sp13:5682
R	M390b	sp13:5699
R	M3936	sp13:56ed
T	M3952	With a beauty like me right in front of you, you shouldn't be looking anywhere else, right?
R	M3971	sp13:5b35
R	M397d	sp13:5b41
R	M398f	sp13:5b6e
R	M3999	sp13:5b84
R	M39a3	sp13:5bac
R	M39ab	sp13:5bc6
R	M39be	sp13:5bf8
R	M39cb	sp13:5c0e
R	M39e8	sp13:5c4b
R	M39fa	sp13:5c5d
T	M3a0d	You're so persistent!
R	M3a18	sp13:5c77
R	M3a35	sp13:5cad
R	M3a3e	sp13:5cb7
R	M3a4a	sp13:5cd4
R	M3a58	sp13:5cec
R	M3a63	sp13:5cf8
R	M3aba	sp13:5d8a
R	M3ace	sp13:5dab
R	M3ae1	sp13:5dd2
R	M3b12	sp13:5e35
R	M3b34	sp13:5e78
R	M3b3a	sp13:5e83
R	M3b63	sp13:5ee2
R	M3b6d	sp13:5f06
R	M3b9b	sp13:5f64
R	M3baf	sp13:5f83
R	M3bc5	sp13:5fa2
R	M3bdc	sp13:5fee
R	M3be2	sp13:5ff9
R	M3bfb	sp13:602b
R	M3c19	sp13:6051
R	M3c29	sp13:606a
R	M3c51	sp13:60cb
R	M3c88	sp13:6126
R	M3ca4	sp13:6164
R	M3cdc	sp13:61c3
R	M3cf9	sp13:6203
R	M3d09	sp13:622b
R	M3d18	sp13:6247
R	M3d24	sp13:625c
R	M3d3d	sp13:629c
R	M3d49	sp13:62bb
R	M3d60	sp13:62d5
R	M3d6c	sp13:62ea
R	M3d7d	sp13:6305
R	M3d8a	sp13:6322
R	M3da2	sp13:6363
R	M3db8	sp13:6382
R	M3dc5	sp13:63a6
R	M3dd4	sp13:63cd
R	M3de9	sp13:63fb
R	M3dfc	sp13:6420
R	M3e12	sp13:644e
R	M3e32	sp13:647f
R	M3e48	sp13:64b1
R	M3e7e	sp13:651d
R	M3e9d	sp13:6578
R	M3ea7	sp13:6587
R	M3eda	sp13:65ff
R	M3ef6	sp13:6622
R	M3f03	sp13:662b
R	M3f31	sp13:6663
R	M3f5a	sp13:66b8
R	M3f92	sp13:672d
R	M3fb6	sp13:6760
R	M3fc6	sp13:677d
R	M3fd5	sp13:67a0
R	M400f	sp13:681e
R	M4049	sp13:68a4
R	M406b	sp13:68d9
R	M408a	sp13:6905
R	M4095	sp13:6924
R	M40b0	sp13:6957
R	M40c1	sp13:6975
R	M40ed	sp13:6a00
R	M411b	sp13:6a4a
R	M4135	sp13:6a73
R	M4145	sp13:6a80
R	M4151	sp13:6a9f
R	M416e	sp13:6ada
R	M4189	sp13:6b14
R	M41a8	sp13:6b51
R	M41bd	sp13:6b79
R	M41ef	sp02:6888
R	M41fc	sp13:6beb
R	M4215	sp13:6c0e
R	M4234	sp13:6c41
R	M424a	sp13:6c78
R	M4265	sp13:6cb6
R	M4280	sp13:6cda
R	M42a0	sp13:6d07
R	M42cf	sp13:6d5c
R	M42e0	sp13:6d6c
R	M42f4	sp13:6d91
R	M4312	sp13:6dce
R	M432e	sp13:6e06
R	M4348	sp13:6e59
R	M435a	sp13:6e72
R	M4374	sp13:6ea8
R	M43a1	sp13:6efb
R	M43b3	sp13:6f2e
R	M43c2	sp13:6f5c
R	M43db	sp13:6f81
R	M4400	sp13:6fd0
R	M440f	sp13:6ffc
R	M4427	sp13:7036
R	M443e	sp13:7065
R	M4459	sp13:7095
R	M4470	sp13:70be
R	M448c	sp13:70d7
R	M44ac	sp13:7135
R	M44b6	sp13:7150
R	M44bf	sp13:720a
R	M44ea	sp13:7263
R	M4500	sp13:729d
R	M452e	sp13:72e9
R	M4556	sp13:732c
R	M4569	sp13:735a
R	M4577	sp13:7375
R	M4585	sp13:738e
R	M45b6	sp13:73d3
R	M45ca	sp13:7400
R	M45e2	sp13:7590
R	M45f9	sp13:75c2
R	M4616	sp13:7601
R	M4629	sp13:761d
R	M463a	sp13:762a
R	M465e	sp13:7673
R	M466a	sp13:7696
R	M4680	sp13:76ab
R	M4693	sp13:76d9
R	M46ab	sp13:7711
R	M46b7	sp13:7723
R	M46c3	sp13:7736
R	M46d3	sp13:775c
R	M46ec	sp13:779c
R	M46f8	sp13:77a9
R	M471c	sp13:77da
R	M4738	sp13:781a
R	M4750	sp13:7850
R	M4760	sp13:7861
R	M476f	sp13:787c
R	M47a4	sp13:74d0
R	M47bb	sp13:7927
R	M47ce	sp13:7945
R	M47ee	sp13:799b
R	M47fa	sp13:79ba
R	M4806	sp13:79e5
R	M4811	sp13:7a00
R	M481f	sp13:7a12
R	M4831	sp13:7a28
R	M4866	sp13:7aa6
R	M4877	sp13:7abe
R	M4888	sp13:7ad3
R	M48a4	sp13:7afe
R	M48b4	sp13:7b26
R	M48c2	sp13:7b48
R	M48ce	sp13:7b5c
R	M48d7	sp13:629c
R	M48e3	sp13:7b87
R	M48ef	sp13:7b95
R	M48fb	sp13:7bae
R	M4904	sp13:6305
R	M4910	sp13:7bd8
R	M491b	sp13:6382
R	M4928	sp13:7c15
R	M4935	sp13:7c40
R	M494e	sp13:7c64
R	M496b	sp13:7ca5
R	M4983	sp13:7cda
R	M4999	sp13:7d03
R	M49ba	sp13:7d3b
R	M49db	sp13:7d78
R	M49f9	sp13:7dad
R	M4a11	sp13:7dd6
R	M4a22	sp13:7dfa
R	M4a2f	sp13:7e0f
R	M4a37	sp13:7e14
R	M4a73	sp13:7e7f
R	M4a88	sp13:7ea1
R	M4a99	sp13:7ece
R	M4aa8	sp13:7efb
R	M4aba	sp13:7f16
R	M4aca	sp13:7f2c
R	M4ad4	sp05:8ab1
R	M4add	sp13:7f47
T	M4af8	Leave me alone!
T	M4b03	Just leave me be...
R	M4b11	sp13:7f6a
R	M4b23	sp13:7f7d
R	M4b34	sp13:7f9f
R	M4b3e	sp13:7fb3
R	M4b4a	sp13:8b76
R	M4b66	sp09:5568
R	M4b72	sp13:8bbb
R	M4b8f	sp13:8bf4
R	M4ba2	sp13:8c26
R	M4bbf	sp13:8c49
R	M4bcf	sp13:7fd0
R	M4bf4	sp13:8003
R	M4c11	sp13:8030
R	M4c21	sp13:8041
R	M4c2b	sp13:5682
T	M4c3c	No, it's nothing.
T	M4c4a	...Ah, I got it!
R	M4c57	sp13:5682
T	M4c68	I've been trying to figure out what this reminds me of, and I just got it.
T	M4c92	What does it remind you of?
T	M4ca0	Yeah, it's like a little... no, I can't really say.
R	M4cbe	sp13:804b
R	M4ccb	sp13:8062
R	M4ce4	sp13:8086
R	M4d03	sp13:80a8
R	M4d19	sp13:80cf
R	M4d2d	sp13:80f0
R	M4d3e	sp13:8116
R	M4d5b	sp13:813f
R	M4d81	sp13:818b
R	M4da2	sp13:81b9
R	M4dde	sp13:8226
R	M4df5	sp13:8243
R	M4e14	sp13:827a
R	M4e3a	sp13:82ba
R	M4e8c	sp13:8355
R	M4eba	sp13:83ba
R	M4f12	sp13:842a
R	M4f3b	sp13:8483
R	M4f6e	sp13:84cf
R	M4f87	sp13:7e0f
R	M4f8d	sp13:8504
R	M4fac	sp13:8547
R	M4fbb	sp13:8556
R	M4fe2	sp13:85ab
R	M500d	sp13:861a
R	M5029	sp13:865d
R	M5041	sp13:8684
R	M505d	sp13:86bd
R	M5098	sp13:8716
R	M511a	sp13:8841
R	M513e	sp13:8882
R	M5198	sp13:892a
R	M51b4	sp13:897e
R	M51d7	sp13:89b8
R	M51ec	sp13:89d7
R	M5202	sp13:8a22
R	M520a	sp13:8a28
R	M5224	sp13:8a57
R	M5239	sp13:8a7a
R	M5284	sp13:8b0f
R	M52b1	sp13:8b50
R	M52c6	sp10:6ca8
R	M52d3	sp13:8c69
R	M52ea	sp13:8c8a
R	M5319	sp13:8cfa
R	M5326	sp13:8d2c
R	M534e	sp13:8d82
R	M5363	sp13:8de9
R	M537c	sp13:8e0d
R	M5396	sp13:8e4e
R	M53b1	sp13:8e83
R	M53cb	sp03:60b6
R	M53fb	sp03:610e
R	M5413	sp03:6141
R	M5443	sp03:61bb
R	M5460	sp03:61e4
R	M5478	sp03:6205
R	M548e	sp03:6228
R	M54a7	sp03:6250
R	M54c4	sp03:6285
R	M54e1	sp03:62c9
R	M54f6	sp03:62f7
R	M552a	sp03:6348
R	M5544	sp03:637e
R	M5573	sp03:63e3
R	M5595	sp03:6416
R	M55a2	sp11:6e0b
R	M55af	sp03:6450
R	M55c8	sp03:6476
R	M55e9	sp03:64b3
R	M5614	sp03:64f8
R	M5637	sp03:6565
R	M5648	sp03:6585
R	M566e	sp03:65cc
R	M5686	sp03:6605
R	M56b9	sp03:6662
R	M56e0	sp03:66b4
R	M56f9	sp03:66d1
R	M5716	sp03:66fc
R	M572b	sp03:6719
R	M5756	sp03:675c
R	M5773	sp03:679a
R	M5795	sp10:7bba
R	M57bc	sp03:6450
R	M57d5	sp03:684e
R	M57f1	sp03:6893
R	M5821	sp03:68d8
R	M583a	sp03:68f3
R	M584e	sp03:6917
R	M5864	sp03:693a
R	M5885	sp03:6977
R	M58a6	sp03:69bd
R	M58d1	sp03:6a11
R	M58f2	sp13:986f
R	M5905	sp13:988f
R	M5925	sp12:6909
R	M593f	sp12:692e
R	M5956	sp12:695b
R	M5974	sp12:6994
R	M5994	sp12:69d0
R	M59bb	sp12:6a14
R	M59c8	sp12:6a38
R	M59d5	sp13:9a14
R	M59ed	sp13:9a49
R	M5a00	sp12:6b08
R	M5a1e	sp12:6b44
R	M5a35	sp12:6b79
R	M5a57	sp03:728d
R	M5a6e	sp03:72cd
R	M5a7d	sp03:72fd
R	M5a9f	sp03:732b
R	M5aba	sp03:7362
R	M5ad8	sp12:5550
R	M5aea	sp13:9c36
